E,445155370175
T,330535289102
A,286527429118
O,272276534337
I,269731642485
N,257770795264
S,232082812755
R,223767519675
H,180074687596
L,144998552911
D,136017528785
C,119155568598
TH,100272945963
U,97273082907
M,89506734085
HE,86697336727
F,85635440629
P,76112599849
THE,69221160871
IN,68595215308
G,66615316232
W,59712390260
Y,59331661972
ER,57754162106
AN,55974567611
B,52905544693
RE,52285662239
ON,49570981965
AT,41920838452
EN,41004903554
ND,38129777631
TI,37856196209
ES,37766388079
V,37532682260
OR,35994097756
TE,33973261529
OF,33130341561
ED,32937140633
IS,31817918249
IT,31672532308
AL,30662410438
AR,30308513014
ST,29704461829
TO,29360205581
NT,29359771944
NG,26871805511
AND,26468697834
SE,26282488562
HA,26103411208
AS,24561944198
OU,24531132241
IO,23542263265
LE,23382173640
VE,23270129573
CO,22384167777
ME,22360109325
DE,21565300071
HI,21520845924
ING,21289988294
RI,20516398905
RO,20491179118
ION,20449402244
IC,19701195496
NE,19504235770
EA,19403941063
RA,19332539912
K,19261229433
CE,18367773425
LI,17604626629
CH,16854985236
TIO,16819216214
TION,16665142795
LL,16257360474
BE,16249257887
MA,15938689768
ENT,15514431359
SI,15509759748
OM,15402602484
UR,15303657594
CA,15174413181
EL,14952716079
TA,14941000711
LA,14874551789
NS,14350320288
DI,13899990598
FO,13753006196
HO,13672603513
PE,13477683504
EC,13457763533
PR,13378480175
NO,13099447521
CT,12997849406
US,12808517567
AC,12625666388
OT,12465822481
IL,12167821320
TR,12006693396
LY,11983948242
ATI,11778016773
NC,11722631112
ET,11634161334
UT,11423899818
SS,11421755201
FOR,11352182252
SO,11214705934
RS,11180732354
UN,11121118166
HER,10921772146
LO,10908830081
WA,10865206430
GE,10861045622
IE,10845731320
WH,10680697684
EE,10647199443
WI,10557401491
EM,10536054813
AD,10375130449
OL,10305660447
TER,10298054230
RT,10198055461
PO,10189505383
WE,10176141608
NA,9790855551
UL,9751225781
HAT,9595332482
NI,9564648232
TS,9516029773
MO,9498813191
THA,9447439870
OW,9318366591
PA,9123652775
IM,8959759181
MI,8957825538
ERE,8939106849
AI,8922759715
SH,8888705287
IR,8886799024
ATIO,8806923204
SU,8774129154
ATE,8757480213
ATION,8733604406
X,8369138754
ID,8332214014
OS,8176085241
IV,8116349309
HIS,8073090301
IA,8072199471
CON,8068814778
AM,8032259916
FI,8024355222
THAT,8006441484
CI,7936922442
VI,7600241898
RES,7496974307
VER,7415630371
PL,7415349106
ALL,7317964040
IG,7189051323
TU,7187510085
ONS,7187472617
EV,7184041787
LD,7122648226
RY,6985436186
NCE,6936472580
MEN,6889167446
ITH,6795041998
MP,6743935008
THER,6709891631
FE,6670566518
TED,6610757134
BL,6581097936
ERS,6524449179
AB,6479202253
PRO,6441091673
GH,6414827751
TY,6408447994
THI,6357454845
OP,6313536754
WIT,6270098257
WO,6252724050
SA,6147356936
AY,6128842727
WITH,6099136075
ARE,6050931663
EX,6035335807
KE,6027536039
FR,6011200185
ESS,5961685248
OO,5928601045
NOT,5871622477
AV,5778409728
AG,5772552144
IVE,5738676234
IF,5731148470
WAS,5723542738
AP,5719570727
J,5657910830
ECT,5633214660
REA,5614636634
GR,5548472398
COM,5512716986
OD,5511014957
BO,5509918152
MENT,5424670138
SP,5392724233
EVE,5367611215
PER,5340402298
RD,5338083783
DO,5307591560
UC,5291161134
INT,5272125236
BU,5214802738
EI,5169898489
EST,5093021295
OV,5021440160
STA,5003705570
BY,4975814759
CTI,4965296625
RM,4938158020
ICA,4851083411
EP,4837800987
TT,4812693687
IST,4696789776
OC,4692062395
FA,4624241031
EF,4588497002
CU,4585165906
EAR,4565761282
RN,4521640992
AIN,4507928531
ONE,4425109105
OUR,4406006814
ITI,4405426644
SC,4363410770
RAT,4343095846
NTE,4326059573
TIN,4314722175
Q,4292916949
INE,4289473708
GI,4275639800
DER,4270017146
DA,4259590348
YO,4226720021
OME,4215212970
CR,4214150542
CL,4201617719
DU,4186093215
GA,4175274057
MAN,4170329466
PRE,4165466522
QU,4160167957
UE,4158448570
FF,4125634219
BA,4122472992
ROM,4120910706
IONS,4103605496
TRA,4103386993
WHI,4056368486
EY,4053144855
AVE,4051571914
STR,4004702365
ACT,3996307044
ILL,3995118251
LS,3990203351
VA,3946966167
URE,3944467758
